date,asset,usd,inr
2023-09-24,btc,26256.83,2208730.0
2023-09-23,btc,26579.39,2208745.0
2023-09-22,btc,26579.57,2201966.25
2023-09-21,btc,26567.63,2254324.0
2023-09-20,btc,27132.01,2264033.0
2023-09-19,btc,27211.12,2227070.75
2023-09-18,btc,26754.28,2204620.75
2023-09-17,btc,26534.19,2207931.75
2023-09-16,btc,26568.28,2211290.25
2023-09-15,btc,26608.69,2203550.75
2023-09-14,btc,26539.67,2175439.0
2023-09-13,btc,26228.32,2140331.0
2023-09-12,btc,25833.34,2086981.75
2023-09-11,btc,25162.65,2144889.75
2023-09-10,btc,25832.23,2150506.5
2023-09-09,btc,25895.68,2151335.0
2023-09-08,btc,25905.65,2184279.5
2023-09-07,btc,26240.2,2144154.25
2023-09-06,btc,25753.24,2142003.25
2023-09-05,btc,25779.98,2135602.0
2023-09-04,btc,25812.42,2148306.5
2023-09-03,btc,25969.57,2139966.5
2023-09-02,btc,25868.8,2134335.25
2023-09-01,btc,25800.72,2144083.0
2023-08-31,btc,25931.47,2257501.5
2023-08-30,btc,27297.27,2287528.0
2023-08-29,btc,27727.39,2158768.5
2023-08-28,btc,26106.15,2156692.75
2023-08-27,btc,26089.69,2146953.25
2023-08-26,btc,26008.46,2150189.75
2023-08-25,btc,26047.67,2162101.75
2023-08-24,btc,26162.37,2181798.5
2023-08-23,btc,26431.64,2162450.75
2023-08-22,btc,26031.66,2171275.25
2023-08-21,btc,26124.14,2178123.5
2023-08-20,btc,26189.58,2170082.0
2023-08-19,btc,26096.21,2166203.0
2023-08-18,btc,26049.56,2215785.5
2023-08-17,btc,26664.55,2389057.0
2023-08-16,btc,28701.78,2426988.5
2023-08-15,btc,29170.35,2449196.75
2023-08-14,btc,29408.44,2427481.5
2023-08-13,btc,29282.91,2440273.5
2023-08-12,btc,29415.96,2438759.5
2023-08-11,btc,29397.71,2436774.5
2023-08-10,btc,29429.59,2449659.0
2023-08-09,btc,29561.49,2466145.5
2023-08-08,btc,29765.49,2416109.75
2023-08-07,btc,29180.58,2401632.25
2023-08-06,btc,29041.86,2401105.75
2023-08-05,btc,29042.13,2403748.5
2023-08-04,btc,29074.09,2415543.75
2023-08-03,btc,29178.68,2411845.0
2023-08-02,btc,29151.96,2442367.75
2023-08-01,btc,29675.73,2403953.0
2023-07-31,btc,29230.11,2407983.25
2023-07-30,btc,29275.31,2415089.5
2023-07-29,btc,29356.92,2411990.25
2023-07-28,btc,29319.25,2406234.75
2023-07-27,btc,29210.69,2406395.75
2023-07-26,btc,29354.97,2395233.0
2023-07-25,btc,29227.39,2387096.25
2023-07-24,btc,29176.92,2467054.0
2023-07-23,btc,30084.54,2441408.5
2023-07-22,btc,29771.8,2452608.25
2023-07-21,btc,29908.74,2445413.5
2023-07-20,btc,29792.02,2454795.0
2023-07-19,btc,29913.92,2450495.25
2023-07-18,btc,29856.56,2473619.5
2023-07-17,btc,30145.89,2482759.5
2023-07-16,btc,30249.13,2487778.0
2023-07-15,btc,30295.81,2491450.75
2023-07-14,btc,30334.07,2582013.5
2023-07-13,btc,31476.05,2492177.5
2023-07-12,btc,30391.65,2523171.0
2023-07-11,btc,30620.95,2509971.0
2023-07-10,btc,30414.47,2492613.0
2023-07-09,btc,30171.23,2503675.5
2023-07-08,btc,30292.54,2508088.5
2023-07-07,btc,30342.27,2475555.5
2023-07-06,btc,29909.34,2514194.75
2023-07-05,btc,30514.17,2523987.75
2023-07-04,btc,30777.58,2553281.25
2023-07-03,btc,31156.44,2513859.5
2023-07-02,btc,30620.77,2511330.75
2023-07-01,btc,30590.08,2502068.0
2023-06-30,btc,30477.25,2498822.25
2023-06-29,btc,30445.35,2467877.0
2023-06-28,btc,30086.25,2516385.25
2023-06-27,btc,30688.16,2482433.75
2023-06-26,btc,30271.13,2498925.75
2023-06-25,btc,30480.26,2504550.5
2023-06-24,btc,30548.7,2515733.25
2023-06-23,btc,30695.47,2450400.5
2023-06-22,btc,29912.28,2460489.25
2023-06-21,btc,30027.3,2322626.0
2023-06-20,btc,28327.49,2201356.0
2023-06-19,btc,26851.03,2157332.25
2023-06-18,btc,26336.21,2171403.25
2023-06-17,btc,26510.68,2156397.0
2023-06-16,btc,26327.46,2095035.5
2023-06-15,btc,25576.39,2061355.38
2023-06-14,btc,25124.68,2132866.25
2023-06-13,btc,25918.73,2132746.0
2023-06-12,btc,25902.5,2138638.5
